x,y,z
183.1499,-261.5652,2261.5693
326.0814,-465.6925,2169.9581
442.8679,-632.4809,1981.2564
537.7623,-768.0041,1771.6006
572.1169,-817.0676,1436.4444
409.0057,-584.1206,349.2184
411.6362,-587.8774,254.9259
418.8294,-598.1504,167.6135
406.2871,-580.2382,79.5878
371.9058,-531.1365,-0.6939
366.9046,-523.9941,-74.4795
365.9203,-522.5884,-151.0392
345.6,-493.5679,-218.1121
359.3078,-513.1448,-315.0523
345.7736,-493.8158,-397.3259
346.9485,-495.4939,-511.25
326.3857,-466.1271,-609.7133
276.8211,-395.3415,-687.5097
231.2692,-330.2866,-746.9144
171.3416,-244.7011,-745.1496
116.4299,-166.2791,-740.6884
64.9876,-92.8119,-740.9855
15.6209,-22.309,-737.4944
-33.3733,47.662,-735.6996
-83.6565,119.4739,-733.2328
-135.5697,193.6136,-730.7247
-191.6363,273.685,-725.5688
-252.4822,360.582,-719.6445
-316.9056,452.5881,-701.2991
-317.2667,453.1039,-559.5442
-315.402,450.4408,-442.7874
-314.5203,449.1816,-347.5226
-313.3789,447.5514,-264.9157
-312.8931,446.8576,-191.0436
-312.4184,446.1797,-122.9948
-312.564,446.3877,-57.8428
-312.9279,446.9074,5.2709
-311.1246,444.332,68.9762
-311.2099,444.4538,135.3155
-312.1381,445.7794,206.3315
-354.3671,506.0886,345.7778
-375.7273,536.5943,478.4741
-384.1327,548.5984,626.097
-380.4599,543.353,787.9759
-376.3012,537.4138,1002.3874
-366.2545,523.0656,1290.682
-329.5614,470.6624,1661.8725
-229.5371,327.8129,1822.9846
-114.9968,164.2325,2028.5083
24.0982,-34.4159,2201.1933
183.1499,-261.5652,2261.5693
-196.1588,-1006.5018,-1008.793
-187.9184,-1018.2704,-955.8679
-179.0293,-1030.9653,-900.0663
-115.2301,-1122.0801,-630.068
-106.5166,-1134.5242,-545.9722
-112.5255,-1125.9427,-465.6908
-96.9383,-1148.2035,-353.6978
-100.9506,-1142.4733,-252.7207
-96.5655,-1148.7359,-126.2485
-82.3749,-1169.0022,44.4112
-65.8566,-1192.5928,279.6262
-101.5291,-1141.6471,401.694
-128.8194,-1102.6725,595.2884
-146.6779,-1077.168,857.8905
-218.2922,-974.8921,1027.3304
-302.7475,-854.2775,1091.5472
-397.4889,-718.9727,1074.9077
-502.5908,-568.8717,864.0583
-605.8012,-421.4719,287.4373
-656.4925,-349.0773,141.6994
-697.3403,-290.7406,-16.7765
-734.1857,-238.1198,-71.2335
-769.0588,-188.3159,-118.9179
-800.1448,-143.9206,-172.2998
-825.6303,-107.5235,-235.375
-842.9439,-82.797,-312.4064
-858.3492,-60.7961,-381.2298
-870.7746,-43.0507,-446.9191
-888.2674,-18.0684,-494.2648
-905.6839,6.8049,-537.827
-923.2125,31.8384,-580.1758
-942.545,59.448,-619.7757
-948.7185,68.2648,-674.3612
-962.8531,88.451,-718.5942
-966.2938,93.3649,-771.4146
-968.1965,96.0821,-828.9446
-974.5242,105.1191,-878.0923
-970.6185,99.5412,-928.5067
-973.1905,103.2143,-975.6492
-992.5904,130.9203,-1021.8558
-1007.0179,151.5249,-1072.3234
-1110.0817,298.7153,-1262.8736
-1127.2963,323.3003,-1344.1989
-1144.939,348.4967,-1433.3997
-1331.8892,615.4892,-1860.9993
-137.5854,-1090.1534,-1505.4056
-161.7787,-1055.6018,-1403.0053
-165.2164,-1050.6923,-1325.5657
-182.0762,-1026.614,-1131.7489
-192.1109,-1012.2828,-1074.2336
-196.1588,-1006.5018,-1008.793
-654.0615,-1639.1948,-2664.0418
-685.2025,-1594.7208,-2469.8279
-697.2992,-1577.4449,-2383.4474
-759.5169,-1488.5889,-2135.1122
-765.8713,-1479.5138,-2078.3507
-769.4902,-1474.3455,-2023.1037
-753.5776,-1497.0711,-1967.9179
-731.8483,-1528.1037,-1906.2374
-857.1428,-1349.1647,-1742.9652
-864.2945,-1338.9509,-1696.0973
-868.0785,-1333.5468,-1643.3057
-881.8684,-1313.8528,-1598.7694
-894.9278,-1295.202,-1552.2373
-904.1821,-1281.9856,-1496.3864
-912.4069,-1270.2393,-1433.1732
-918.9049,-1260.9592,-1357.9055
-942.8082,-1226.8218,-1313.1544
-1014.9402,-1123.8065,-1391.4762
-1037.1767,-1092.0496,-1352.7128
-1057.3694,-1063.2114,-1299.583
-1081.1095,-1029.307,-1246.593
-1110.1605,-987.8179,-1142.3124
-1152.6812,-927.092,-1202.7638
-1184.7808,-881.2491,-1136.4346
-1224.1477,-825.0273,-1102.927
-1262.5732,-770.15,-1084.0954
-1301.2666,-714.8901,-1089.6167
-1342.7717,-655.6147,-1078.6613
-1377.5788,-605.905,-1116.9948
-1410.3525,-559.0993,-1159.4
-1441.3602,-514.8157,-1200.5655
-1466.68,-478.6552,-1256.9683
-1474.823,-467.0258,-1351.783
-1512.3202,-413.4743,-1385.7131
-1531.716,-385.7743,-1438.1
-1551.6202,-357.3481,-1484.9409
-1582.7761,-312.8529,-1513.8791
-1586.0844,-308.1281,-1582.1738
-1588.6018,-304.5329,-1646.6245
-1588.5299,-304.6356,-1707.7808
-1588.8655,-304.1563,-1764.4865
-1591.9684,-299.7249,-1816.5223
-1671.7217,-185.8255,-1954.3917
-1708.6229,-133.125,-2008.6208
-1727.2031,-106.5897,-2071.0881
-1736.0563,-93.9461,-2136.6218
-1780.5516,-30.4002,-2343.7538
-1811.6819,14.0585,-2442.6598
-1943.4168,202.1954,-2661.9221
-2166.183,520.3385,-3298.2072
-654.0615,-1639.1948,-2664.0418
-2736.5969,48.3282,-2435.5686
-2704.0236,1.8088,-2319.5098
-2657.9903,-63.9335,-2217.6416
-2621.5864,-115.9237,-2107.4131
-2591.8363,-158.4112,-1986.1443
-2549.9097,-218.2886,-1877.4008
-2409.0387,-419.4734,-1943.1668
-2348.7528,-505.5704,-1892.6947
-2350.9601,-502.4181,-1678.6909
-2319.1735,-547.8141,-1521.8454
-2274.5917,-611.4835,-1370.38
-1963.9116,-1055.1807,-2365.0904
-1934.065,-1097.806,-2346.8624
-1858.205,-1206.1454,-2727.6397
-1844.2331,-1226.0992,-2731.8781
-1830.2317,-1246.0953,-2726.5035
-1814.9169,-1267.9671,-2718.8533
-1801.9001,-1286.5571,-2732.4576
-1790.7925,-1302.4204,-2765.8803
-1782.5841,-1314.1432,-2788.0309
-1776.4474,-1322.9073,-2811.8671
-1770.2465,-1331.7631,-2830.8088
-1761.0049,-1344.9615,-2839.9201
-1750.6163,-1359.7979,-2847.2291
-1740.1501,-1374.7453,-2855.4106
-1742.4838,-1371.4124,-2896.826
-1739.6386,-1375.4757,-2913.1441
-1739.0422,-1376.3274,-2930.7339
-1739.4641,-1375.7249,-2947.7668
-1737.5662,-1378.4355,-2961.8365
-1735.4307,-1381.4852,-2975.476
-1732.9277,-1385.0599,-2988.7041
-1730.7538,-1388.1645,-3002.165
-1726.11,-1394.7966,-3015.5372
-1725.6055,-1395.5171,-3029.9111
-1725.6199,-1395.4965,-3044.059
-1724.7664,-1396.7155,-3058.5888
-1723.8994,-1397.9536,-3073.697
-1722.1145,-1400.5027,-3090.2233
-1713.0362,-1413.4678,-3113.6629
-1699.4425,-1432.8817,-3145.275
-1464.2892,-1768.7154,-3485.2817
-1271.2167,-2044.4515,-3850.4694
-4257.3605,2220.2038,-6035.3221
-3436.4124,1047.7683,-4257.9054
-3332.1893,898.9224,-3948.4475
-2986.9208,405.8278,-3541.5577
-2788.7413,122.7982,-3083.3162
-2767.1039,91.8968,-2959.6538
-2740.9237,54.5077,-2839.9325
-2736.5969,48.3282,-2435.5686
-1760.8916,-2610.7521,-3139.2519
-1797.1034,-2559.0362,-3051.172
-1836.5886,-2502.6455,-2965.8645
-1880.44,-2440.0192,-2886.3947
-1928.0414,-2372.0374,-2812.9931
-1970.004,-2312.1085,-2718.3105
-2035.6006,-2218.427,-2693.7995
-2123.1851,-2093.3434,-2773.6996
-2192.3698,-1994.5373,-2815.5615
-2255.1453,-1904.8846,-2862.0496
-2296.1725,-1846.2917,-2749.8698
-2346.2796,-1774.7313,-2628.7443
-2403.5129,-1692.9938,-2334.0567
-2487.0819,-1573.6449,-2004.5362
